Amazon Fire Phone	64GB - Black - AT&T*delim*32GB - Black - AT&T	201*delim*51	http://assets2.glyde.com/static/2D5538A4DE7CEEE22BAF2CBE14D25D5FD0D46776/images/phones/101x200/12077487p.jpg*delim*http://assets1.glyde.com/static/962CD0051E98F6B96AE83C97AA5509D811F8A8B0/images/phones/105x200/12078801p.jpg
Apple iPhone 4	8GB - Black - Sprint	85	http://assets1.glyde.com/static/26C84018BD23EF749D036651104926D867BA0C14/images/phones/102x200/12076567p.jpg
Apple iPhone 4	8GB - White - Sprint	110	http://assets2.glyde.com/static/B9C757B40369A8360D6949B60990C34B777E622C/images/phones/107x200/12056417p.jpg
Apple iPhone 4	32GB - White - Verizon*delim*32GB - White - AT&T*delim*16GB - White - Verizon*delim*16GB - White - AT&T*delim*8GB - Black - Verizon*delim*8GB - White - AT&T*delim*8GB - Black - AT&T*delim*8GB - White - Verizon	140*delim*290*delim*110*delim*99*delim*38*delim*74*delim*79*delim*35	http://assets3.glyde.com/static/D94D73F0A270117CF412A4BC7E75677A7A57F1A4/images/phones/102x200/12048050p.jpg*delim*http://assets0.glyde.com/static/382D8CDA39F7B7E94519625D8A8E760E0415A4FC/images/phones/102x200/12048051p.jpg*delim*http://assets1.glyde.com/static/302BB13CBFEEDB528992E18C2910B4001F68F09F/images/phones/102x200/12055616p.jpg*delim*http://assets3.glyde.com/static/4511113AEA026AF6B944898BA089B00F293A3E2D/images/phones/102x200/12055618p.jpg*delim*http://assets0.glyde.com/static/570C7B7B5AD8435C6EB64687C25FEE5B556FF478/images/phones/102x200/12055615p.jpg*delim*http://assets1.glyde.com/static/7C94FDFDA11EF18AE103747C0A09B6837E9E8A56/images/phones/109x200/12074580p.jpg*delim*http://assets0.glyde.com/static/981DA6DDA8AD17CD01742B41F2E2CBF52621A24A/images/phones/109x200/12059157p.jpg*delim*http://assets1.glyde.com/static/9BA462B95A7E5A5EC8FB640E08B22628356A26EA/images/phones/109x200/12059158p.jpg
Apple iPhone 4	16GB - Black - Verizon*delim*32GB - Black - Verizon	51*delim*49	http://assets1.glyde.com/static/535076889CCFF79664FD8E1C7196C4DE4929B0B9/images/phones/102x200/12059153p.jpg*delim*http://assets2.glyde.com/static/95210BD76643CCCEB6FC5792AC4DF72A04359815/images/phones/102x200/12061768p.jpg
Apple iPhone 4S	8GB - White - T-Mobile*delim*8GB - White - AT&T*delim*16GB - Black - T-Mobile*delim*8GB - Black - Verizon*delim*8GB - White - Verizon*delim*8GB - White - Sprint*delim*8GB - Black - AT&T*delim*16GB - White - T-Mobile*delim*32GB - Black - T-Mobile	109*delim*109*delim*125*delim*73*delim*240*delim*215*delim*99*delim*90*delim*130	http://assets2.glyde.com/static/B95510354BCC1670CC2EAD2F7824CD711CD820A9/images/phones/107x200/12076338p.jpg*delim*http://assets3.glyde.com/static/22CB57754C6734967B78792BED1A018B69C54D60/images/phones/107x200/12076335p.jpg*delim*http://assets1.glyde.com/static/976B23F7F98BE75DBA41817D04ADCD47D0141C30/images/phones/107x200/12077381p.jpg*delim*http://assets1.glyde.com/static/E3328DCC02AF51DF5F19F1D3EE9326D4783BE603/images/phones/107x200/12076337p.jpg*delim*http://assets0.glyde.com/static/9039CE0E26638522878E540A21416B797AC3EB9E/images/phones/107x200/12076336p.jpg*delim*http://assets3.glyde.com/static/883206484C17BC833D9C9996811960711DF8A26B/images/phones/107x200/12076331p.jpg*delim*http://assets2.glyde.com/static/0D17A7C5B5AF4B38439271A5F89077D891D1C4EF/images/phones/107x200/12077382p.jpg*delim*http://assets2.glyde.com/static/137CD1595AE423C781AF4C644D8A0EE04A4FAD3E/images/phones/109x200/12076633p.jpg*delim*http://assets1.glyde.com/static/0515FDCD739EB83AD3880CD8B2272DC41D99A138/images/phones/109x200/12076632p.jpg
Apple iPhone 4S	32GB - White - Sprint*delim*32GB - Black - Sprint*delim*16GB - White - Sprint*delim*64GB - Black - Verizon*delim*64GB - White - Verizon*delim*64GB - White - AT&T*delim*32GB - White - Verizon	189*delim*179*delim*109*delim*175*delim*189*delim*189*delim*215	http://assets2.glyde.com/static/A0D9CD670C41076D39CC6E7211E0FEFDD6967654/images/phones/107x200/12055612p.jpg*delim*http://assets3.glyde.com/static/38540D987CB3F16401BF9E012D3E7859C40D4D1E/images/phones/107x200/12055598p.jpg*delim*http://assets3.glyde.com/static/8CEAC9D90DC17E7F58685FC11AEADDBE96220296/images/phones/107x200/12055604p.jpg*delim*http://assets0.glyde.com/static/42C292FF15034107578FC505A3417767A94397C7/images/phones/102x200/12055620p.jpg*delim*http://assets3.glyde.com/static/2FDE9B39C7928B96C02125DDAF962F4AB6EDB848/images/phones/107x200/12055600p.jpg*delim*http://assets2.glyde.com/static/28185462944E006D0BBCC97732229E87CAB43F65/images/phones/107x200/12055603p.jpg*delim*http://assets0.glyde.com/static/52ACD919496ABCCBA33E69AED0FC1E489C94F3E4/images/phones/102x200/12076566p.jpg
Apple iPhone 4S	32GB - White - AT&T*delim*16GB - White - AT&T*delim*16GB - White - Verizon*delim*32GB - Black - AT&T*delim*32GB - Black - Verizon*delim*64GB - Black - AT&T	145*delim*109*delim*124*delim*93*delim*90*delim*95	http://assets1.glyde.com/static/2C26D082762378603FF019EEFB7964E6811D1DCE/images/phones/108x200/12056420p.jpg*delim*http://assets0.glyde.com/static/D52B5216ADB08BAEA5A38204D25450162958030C/images/phones/104x200/12056418p.jpg*delim*http://assets3.glyde.com/static/71E7A52F6EE65EDCE7E62648EA608673155C6861/images/phones/106x200/12056419p.jpg*delim*http://assets2.glyde.com/static/D5F0F2FD808DE685DE4D0282D25A3A3FA7A6CED3/images/phones/112x200/12059180p.jpg*delim*http://assets3.glyde.com/static/D60892CC718599976D7680E38524F24E9295DEDA/images/phones/112x200/12059181p.jpg*delim*http://assets2.glyde.com/static/FA5A6BCDD8930F9033B09D0A553B727A41212976/images/phones/109x200/12056424p.jpg
Apple iPhone 4S	16GB - Black - Sprint*delim*16GB - Black - Verizon	204*delim*68	http://assets0.glyde.com/static/2089DA1EBFC1C2FFEA8B804326B7321CA1224DC9/images/phones/115x200/12056430p.jpg*delim*http://assets0.glyde.com/static/C9E7D15A2035BE71CF29B797634A8254CBDB1874/images/phones/101x200/12056439p.jpg
Apple iPhone 5	16GB - White & Silver - T-Mobile*delim*16GB - Black & Slate - T-Mobile	238*delim*160	http://assets0.glyde.com/static/65B2415DBED343EBB2D3E5DF99D7114348EBB256/images/phones/96x200/12075370p.jpg*delim*http://assets2.glyde.com/static/51F39AEE2387E0DD9488D737D91075409400379E/images/phones/96x200/12075367p.jpg
