phone_model,tipstrickslink,review
 Samsung Conquer 4G,http://www.phonetipsandtricks.com/tips/samsung-conquer-4g/,5fXgPDm3Dhs?list=PLD228B91CC610B805
 Samsung Stratosphere,http://www.phonetipsandtricks.com/tips/samsung-stratosphere/,mz-80uFHYAU?list=PLD228B91CC610B805
 Samsung Focus S,http://www.phonetipsandtricks.com/tips/samsung-focus-s/,_Jc01dvb1vI?list=PLD228B91CC610B805
 Samsung Galaxy Note,http://www.phonetipsandtricks.com/tips/samsung-galaxy-note/,Es7orfYUc3w?list=PLD228B91CC610B805
 Samsung Galaxy Nexus,http://www.phonetipsandtricks.com/tips/samsung-galaxy-nexus/,v9NWzk4lm44?list=PLD228B91CC610B805
 Samsung Infuse 4G,http://www.phonetipsandtricks.com/tips/samsung-infuse-4g/,IGjT5Glngfg?list=PLD228B91CC610B805
 LG Spectrum,http://www.phonetipsandtricks.com/tips/lg-spectrum/,fKDTGjJR8rI?list=PLD228B91CC610B805
 LG G4,http://www.phonetipsandtricks.com/tips/lg-g4/,BEc7eygICBE?list=PLD228B91CC610B805
 LG G Flex 2,http://www.phonetipsandtricks.com/tips/lg-g-flex-2/,nj96tHJmg2w?list=PLD228B91CC610B805
 LG G3,http://www.phonetipsandtricks.com/tips/lg-g3/,7bLh1x7Auwc?list=PLD228B91CC610B805
 LG Lucid 3,http://www.phonetipsandtricks.com/tips/lg-lucid-3/,1ZfeJnJ73S8?list=PLD228B91CC610B805
 Motorola Atrix 4G,http://www.phonetipsandtricks.com/tips/motorola-atrix-4g/,2RLsQGlIlGk?list=PLD228B91CC610B805
 Motorola Droid Bionic,http://www.phonetipsandtricks.com/tips/motorola-droid-bionic/,2fyi5pZS1xY?list=PLD228B91CC610B805
 Google Nexus 4,http://www.phonetipsandtricks.com/tips/google-nexus-4/,xTKU6m2uQwc?list=PLD228B91CC610B805
 Google Nexus 5,http://www.phonetipsandtricks.com/tips/google-nexus-5-2/,1dg2UIzIt4s?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Samsung Galaxy S6,http://www.phonetipsandtricks.com/tips/samsung-galaxy-s6/,Mhvv2-iCKao?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Samsung Galaxy S6 Edge,http://www.phonetipsandtricks.com/tips/samsung-galaxy-s6-edge/,quGuHcnDnHQ?list=PLD228B91CC610B805
 HTC Trophy,http://www.phonetipsandtricks.com/tips/htc-trophy/,Aixf2zQILrI?list=PLD228B91CC610B805
 Apple iPhone 5S,http://www.phonetipsandtricks.com/tips/apple-iphone-5s/,uBEaG6n0XDs?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Nokia Lumia 1520,http://www.phonetipsandtricks.com/tips/nokia-lumia-1520/,sgo0BzGhJS0?list=PLD228B91CC610B805
 Nokia Lumia 735,http://www.phonetipsandtricks.com/tips/nokia-lumia-735/,X6XC670NOgk?list=PLD228B91CC610B805
 Nokia Lumia 830,http://www.phonetipsandtricks.com/tips/nokia-lumia-830/,Bn9GMBalf7s?list=PLD228B91CC610B805
 Sony Xperia ZL,http://www.phonetipsandtricks.com/tips/sony-xperia-zl/,JZEzk8GDjTU?list=PLD228B91CC610B805
 Sony Xperia Z,http://www.phonetipsandtricks.com/tips/sony-xperia-z/,AElbT5tKQYs?list=PLD228B91CC610B805
 HTC Wildfire S,http://www.phonetipsandtricks.com/tips/htc-wildfire-s/,Pl5DbC2dpPc?list=PLD228B91CC610B805
 HTC Rhyme,http://www.phonetipsandtricks.com/tips/htc-rhyme/,eb8YzdM_LPA?list=PLD228B91CC610B805
 HTC Titan,http://www.phonetipsandtricks.com/tips/htc-titan/,fdV7BjKZ0Hs?list=PLD228B91CC610B805
 HTC Evo 3D,http://www.phonetipsandtricks.com/tips/htc-evo-3d/,IA2CC5CtAYI?list=PLD228B91CC610B805
 Sony Xperia Z3,http://www.phonetipsandtricks.com/tips/sony-xperia-z3/,Dpr6JP8Brtc?list=PLD228B91CC610B805
 Sony Xperia Z1S,http://www.phonetipsandtricks.com/tips/sony-xperia-z1s/,x__pdn5Rwng?list=PLD228B91CC610B805
 Nokia Lumia 928,http://www.phonetipsandtricks.com/tips/nokia-lumia-928/,xlzPSm1O7yc?list=PLD228B91CC610B805
 Nokia Lumia 1020,http://www.phonetipsandtricks.com/tips/nokia-lumia-1020/,Fi1JUykQBKw?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Nokia Lumia 925,http://www.phonetipsandtricks.com/tips/nokia-lumia-925/,CntfUc_Sd1c?list=PLBsP89CPrMeNm71T5gYC6jebm9vPbLBiP
 Nokia Lumia 810,http://www.phonetipsandtricks.com/tips/nokia-lumia-810/,mEF_fUWxzow?list=PLD228B91CC610B805
