announced_date	battery	camera	current_status	dimensions	display_inches	image	is_Touch	memory	os	phone_model	processor	ram	resolution	url	weight
22-Oct-15		5 megapixels	Released	 5.35 x 2.67 x 0.39 inches	 4.5 inches	http://i-cdn.phonearena.com/images/phones/57503-specs/Huawei-Y5.jpg	 Multi-touch		 Android (5.1) Emotion 3.1 Lite UI	Huawei Y5	" Quad-core, 1100 MHz, ARM Cortex-A7"	1024 MB 	 480 x 854 pixels	http://www.phonearena.com/phones/Huawei-Y5_id9770	142 g
26-Feb-12		8 megapixels	Released	 5.15 x 2.56 x 0.31 inches	 4.3 inches	http://i-cdn.phonearena.com/images/phones/35109-specs/HTC-One-S.jpg	 Multi-touch	16 GB	" Android (4.1.1, 4.0.4, 4.0.3) Sense 4.1 UI"	HTC One S	" Dual-core, 1500 MHz, Krait"	1024 MB 	 540 x 960 pixels	http://www.phonearena.com/phones/HTC-One-S_id6579	120 g
10-Jan-12		12.1 megapixels		 5.04 x 2.52 x 0.42 inches	 4.3 inches	http://i-cdn.phonearena.com/images/phones/34449-specs/Sony-Xperia-S.jpg	 Multi-touch		" Android (4.1, 4.0.4, 2.3.7, 2.3.5)"	Sony Xperia S	" Dual-core, 1500 MHz"	1024 MB 	 720 x 1280 pixels	http://www.phonearena.com/phones/Sony-Xperia-S_id6220	144 g
23-Feb-12		8 megapixels	Released	 5.21 x 2.68 x 0.35 inches	 4.7 inches	http://i-cdn.phonearena.com/images/phones/35145-specs/LG-Optimus-4X-HD.jpg	 Multi-touch	16 GB	" Android (4.1, 4.0.3) Optimus UI"	LG Optimus 4X HD	" Quad-core, 1500 MHz, ARM Cortex-A9"	1024 MB 	 720 x 1280 pixels	http://www.phonearena.com/phones/LG-Optimus-4X-HD_id6848	141 g
9-Jan-07			Released	 4.50 x 2.40 x 0.46 inches		http://i-cdn.phonearena.com/images/phones/9090-specs/Apple-iPhone.jpg			" iOS (3.x, 2.x, 1.x)"	Apple iPhone				http://www.phonearena.com/phones/Apple-iPhone_id1886	135 g
5-Jan-11				 9.80 x 6.61 x 0.51 inches	 10.1 inches	http://i-cdn.phonearena.com/images/phones/25548-specs/Motorola-XOOM-CDMA.jpg			" Android (4.0, 3.0)"	Motorola XOOM CDMA				http://www.phonearena.com/phones/Motorola-XOOM-CDMA_id5123	730 g
28-Sep-11			Released	 7.48 x 4.72 x 0.45 inches	 7.0 inches	http://i-cdn.phonearena.com/images/phones/31744-specs/Amazon-Kindle-Fire.jpg			 Android (2.3)	Amazon Kindle Fire			 1024 x 600 pixels	http://www.phonearena.com/phones/Amazon-Kindle-Fire_id6185	413 g
6-Sep-12			Released	 9.4 x 6.4 x 0.35 inches		http://i-cdn.phonearena.com/images/phones/37969-specs/Amazon-Kindle-Fire-HD-8.9-4G-LTE.jpg			 Android (4.0)	Amazon Kindle Fire HD 8.9 4G LTE				http://www.phonearena.com/phones/Amazon-Kindle-Fire-HD-8.9-4G-LTE_id7491	575 g
19-Sep-12		8 megapixels	Released	 5.94 x 3.17 x 0.37 inches	 5.5 inches	http://i-cdn.phonearena.com/images/phones/38014-specs/Samsung-GALAXY-Note-II-Verizon.jpg	 Multi-touch	16 GB	" Android (4.4.2, 4.1)"	Samsung GALAXY Note II Verizon	" Quad-core, 1600 MHz, ARM Cortex-A9"	2048 MB 	 720 x 1280 pixels	http://www.phonearena.com/phones/Samsung-GALAXY-Note-II-Verizon_id7494	182 g
19-Sep-12			Released			http://i-cdn.phonearena.com/images/phones/38007-specs/Samsung-GALAXY-Note-II-AT-T.jpg			" Android (4.3, 4.1.2, 4.1)"	Samsung GALAXY Note II AT&T				http://www.phonearena.com/phones/Samsung-GALAXY-Note-II-AT-T_id7500	
19-Sep-12		8 megapixels	Released	 5.94 x 3.17 x 0.37 inches	 5.5 inches	http://i-cdn.phonearena.com/images/phones/38009-specs/Samsung-GALAXY-Note-II-Sprint.jpg	 Multi-touch		 Android (4.1)	Samsung GALAXY Note II Sprint	" Quad-core, 1600 MHz, ARM Cortex-A9"	2048 MB 	 720 x 1280 pixels	http://www.phonearena.com/phones/Samsung-GALAXY-Note-II-Sprint_id7501	180 g
19-Sep-12		8 megapixels	Released	 5.94 x 3.16 x 0.37 inches	 5.5 inches	http://i-cdn.phonearena.com/images/phones/38011-specs/Samsung-GALAXY-Note-II-T-Mobile.jpg	 Multi-touch	16 GB	 Android (4.1)	Samsung GALAXY Note II T-Mobile	" Quad-core, 1600 MHz, ARM Cortex-A9"	2048 MB 	 720 x 1280 pixels	http://www.phonearena.com/phones/Samsung-GALAXY-Note-II-T-Mobile_id7502	180 g
