"_cached_page_id","_template","_type","battery","camera","dimensions","display_inches","image","is_Touch","memory","os","phone_model","processor","simcard","url","weight"
"21385a4e417e86704f0ce139f3fdbea1c414f0e4","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","850 mAh","","4.53"" x 1.87"" x 0.5"" (115 x 48 x 12.8 mm)","1.8","http://img.phonescoop.com/img/p/245/h5783.jpg","",""," (proprietary) ","Alcatel one touch 510a","","","http://www.phonescoop.com/phones/phone.php?p=3854","2.8 oz (79 g)"
"e3a51a5e66888392e58137017f3aea9592e2330b","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","2500 mAh"," 5+ megapixel","5.64"" x 2.89"" x 0.36"" (143 x 73 x 9.1 mm)","","http://img.phonescoop.com/img/p/245/h7306.jpg","","8 GB","","Alcatel one touch Conquest"," 1.2 GHz Qualcomm Snapdragon 410 (MSM8916) quad-core","","http://www.phonescoop.com/phones/phone.php?p=4832","4.94 oz (140 g)"
"34a60a72adae6a603df93972a7919b7ed38ce892","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","1400 mAh"," 2+ megapixel","4.43"" x 2.44"" x 0.47"" (113 x 62 x 11.9 mm)","3.5","http://img.phonescoop.com/img/p/245/h6703.jpg","","4 GB"," Android version 4.4.2","Alcatel one touch C1"," 1 GHz MediaTek 6572M dual-core","","http://www.phonescoop.com/phones/phone.php?p=4596","3.53 oz (100 g)"
"3e853ccf08fdc939cf413b22895064e7c6845f97","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","1500 mAh","","5"" x 2.67"" x 0.4"" (127 x 68 x 10.2 mm)","4.3","http://img.phonescoop.com/img/p/245/h5728.jpg","",""," Android version 2.3.6 ","Alcatel one touch Authority / Ultra","","","http://www.phonescoop.com/phones/phone.php?p=3811","4.47 oz (127 g)"
"546b02e934b58f2e9a9074250f6a92e930576f26","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","850 mAh","","4.19"" x 2.28"" x 0.5"" (106 x 58 x 12.7 mm)","2","http://img.phonescoop.com/img/p/245/h5866.jpg","","","","Alcatel one touch 871a","","","http://www.phonescoop.com/phones/phone.php?p=3766","3.14 oz (89 g)"
"47b17f0ae6289ef2c59529272ff844808e145ade","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","850 mAh","","4.09"" x 2.07"" x 0.68"" (104 x 52 x 17.3 mm)","2.4","http://img.phonescoop.com/img/p/245/h6105.jpg","","","","Alcatel one touch 768","","","http://www.phonescoop.com/phones/phone.php?p=3956","3.5 oz (99 g)"
"354e499745c7a3f4d057a579ea6c961ce7700853","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","650 mAh","","3.78"" x 1.89"" x 0.66"" (96 x 48 x 16.8 mm)","1.8","http://img.phonescoop.com/img/p/245/h5635.jpg","","","","Alcatel one touch 665","","","http://www.phonescoop.com/phones/phone.php?p=3788","2.72 oz (77 g)"
"676a191513a6b5fe678f720fa7862f49c039a79e","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","1300 mAh","","4.66"" x 2.28"" x 0.48"" (118 x 58 x 12.2 mm)","2.8","http://img.phonescoop.com/img/p/245/h5393.jpg","",""," Android version 2.3.5 ","Alcatel one touch Venture / Premiere","","","http://www.phonescoop.com/phones/phone.php?p=3706","4.3 oz (122 g)"
"409b57dd9ecc9182afcda399ea41453b4072f916","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","850 mAh","","4.65"" x 2.11"" x 0.6"" (118 x 54 x 15.2 mm)","2.4","http://img.phonescoop.com/img/p/245/h5902.jpg","","","","Alcatel one touch Sparq II","","","http://www.phonescoop.com/phones/phone.php?p=4022","4.41 oz (125 g)"
"ef02f7c1002bc9f842561be113b7c9cc2501f38b","0d0dcbb65689e8f50839c450d38bb819d5b3c635","default","670 mAh","","4.29"" x 2.01"" x 0.65"" (109 x 51 x 16.5 mm)","2.2","http://img.phonescoop.com/img/p/245/h5262.jpg","",""," (proprietary) ","Alcatel one touch Sparq","","","http://www.phonescoop.com/phones/phone.php?p=2857","3.85 oz (109 g)"
